City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,kapuskasing,49.4169,-82.4331,-18.94999999999999,84,75,3.09,CA,2024-02-13
150,newman,37.3138,-121.0208,5.160000000000025,92,100,0.54,US,2024-02-13
151,geraldton,-28.7667,114.6,23.230000000000018,73,0,7.72,AU,2024-02-13
152,nova vicosa,-17.8919,-39.3719,32.950000000000045,48,59,2.98,BR,2024-02-13
153,luena,-11.7833,19.9167,25.32000000000005,63,100,0.53,AO,2024-02-13
154,rapar,23.5667,70.6333,22.54000000000002,20,100,3.15,IN,2024-02-13
155,saldanha,-33.0117,17.9442,27.03000000000003,83,6,6.64,ZA,2024-02-13
156,poronaysk,49.2167,143.1167,-9.409999999999968,97,100,2.59,RU,2024-02-13
157,palikir - national government center,6.9248,158.1611,26.950000000000045,77,97,9.24,FM,2024-02-13
158,georgetown,5.4112,100.3354,29.970000000000027,65,20,2.24,MY,2024-02-13
159,gatesville,31.4352,-97.7439,5.3799999999999955,100,0,0.0,US,2024-02-13
160,callao,-12.0667,-77.15,27.620000000000005,73,75,4.12,PE,2024-02-13
161,jamestown,42.097,-79.2353,-0.5499999999999545,94,0,3.6,US,2024-02-13
162,ta`u,-14.2336,-169.5144,27.370000000000005,86,100,7.76,AS,2024-02-13
163,kohat,33.582,71.4493,19.04000000000002,24,0,1.3,PK,2024-02-13
164,knyaze-volkonskoye,48.4642,135.4567,-5.810000000000002,97,100,5.24,RU,2024-02-13
165,igrim,63.1906,64.4162,-29.599999999999966,96,100,4.28,RU,2024-02-13
166,queenstown,-31.8976,26.8753,38.85000000000002,10,90,3.31,ZA,2024-02-13
167,labrador city,52.9463,-66.9114,-11.569999999999993,66,100,3.09,CA,2024-02-13
168,cidreira,-30.1811,-50.2056,23.03000000000003,98,100,2.82,BR,2024-02-13
169,torghay,49.6339,63.4981,-3.5600000000000023,90,100,7.88,KZ,2024-02-13
170,djambala,-2.5447,14.7533,21.810000000000002,91,100,1.98,CG,2024-02-13
171,ciudad guayana,8.3533,-62.6528,27.510000000000048,81,100,4.67,VE,2024-02-13
172,tromso,69.6496,18.957,-2.9899999999999523,50,0,10.29,NO,2024-02-13
173,k'olito,7.3167,38.0833,23.25,50,55,1.3,ET,2024-02-13
174,alofi,-19.0595,-169.9187,26.939999999999998,78,100,5.14,NU,2024-02-13
175,hithadhoo,-0.6,73.0833,27.710000000000036,77,100,7.16,MV,2024-02-13
